time,COKE_VM%,COKE_ASH%,COKE_IM%,COKE_FC%,COKE_MOIST%,COKE_CALC_MT,NUTCOKE_MOIST%,NUTCOKE_VM%,NUTCOKE_IM%,NUTCOKE_FC%,NUTCOKE_ASH%,NUTCOKE_CALC_MT,PCI_FC%,PCI_ASH%,PCI_VM%,PCI_IM%,PCI_CALC_MT,SINTER_COLD_STRENGTH_AI,SINTER_COLD_STRENGTH_TI,SINTER_HOT_STRENGTH_RI,SINTER_HOT_STRENGTH_RDI,SINTER_P%,SINTER_SIO2%,SINTER_MGO%,SINTER_FEO%,SINTER_AL2O3%,SINTER_NA2O%,SINTER_TIO2%,SINTER_FE(T)%,SINTER_CAO%,SINTER_K2O%,SINTER_BASICITY,SINTER_MNO%,SINTER_CALC_MT,FLUX_TM%,FLUX_SIO2%,FLUX_FE2O3%,FLUX_AL2O3%,FLUX_LOI%,FLUX_MGO%,FLUX_CAO%,FLUX_CALC_MT,ORE_FE(T)%,ORE_LOI%,ORE_TM%,ORE_MGO%,ORE_NA2O%,ORE_P%,ORE_TIO2%,ORE_AL2O3%,ORE_SIO2%,ORE_MNO%,ORE_CAO%,ORE_K2O%,ORE_CALC_MT,PELLET_PCT_SIO2,PELLET_PCT_AL2O3,PELLET_PCT_FE2O3,PELLET_PCT_MGO,PELLET_PCT_TIO2,PELLET_PCT_NA2O,TOTAL_PELLET_CALC_MT,PELLET_PCT_K2O,PELLET_PCT_TM,PELLET_PCT_LOI,PELLET_PCT_MNO,PELLET_PCT_CAO,PELLET_PCT_P,CHARGES/HRS.,STOCKRODLEVEL,CHEM_PCT_C,CHEM_PCT_CR,CHEM_PCT_FE,CHEM_PCT_MN,CHEM_PCT_P,CHEM_PCT_S,CHEM_PCT_SI,CHEM_PCT_TI,SLAG_BASICITY,SLAG_PCT_AL2O3,SLAG_PCT_CAO,SLAG_PCT_FEO,SLAG_PCT_K2O,SLAG_PCT_MGO,SLAG_PCT_MNO,SLAG_PCT_NA2O,SLAG_PCT_S,SLAG_PCT_SIO2,SLAG_PCT_TIO2,SLAG_T_BASICITY,HMT_GT_1480C,COKE_DISCHARGE_TIME,WEIGHTED_COKE_ANGLE,TOTAL_COKE_PORTIONS,NON_COKE_DISCHARGE_TIME,WEIGHTED_NON_COKE_ANGLE,TOTAL_NON_COKE_PORTIONS,TOTAL HEAT LOAD,FTG_UPTAKE_TEMP_A,FTG_UPTAKE_TEMP_B,FTG_UPTAKE_TEMP_C,FTG_UPTAKE_TEMP_D,FTG_UPTAKE_TEMP_AVG,HEARTH_TEMP_A,HEARTH_TEMP_B,HEARTH_TEMP_C,HEARTH_TEMP_D,HEARTH_TEMP_AVG,BOSH_TEMP_A,BOSH_TEMP_C,BOSH_TEMP_D,BELLY_TEMP_A,BELLY_TEMP_C,BELLY_TEMP_D,LOWER_STACK_TEMP_A,LOWER_STACK_TEMP_B,LOWER_STACK_TEMP_C,LOWER_STACK_TEMP_D,PCI_KG/THM,ACT. FUEL RATEKG/THM.,FURNACETOPGASANALYSISCO2ETACO,COKE RATE KG/THM,PRODUCTIONTONNESPERHR,HOT BLAST PRESSUREBAR,TOPPRESSUREBAR,DIFFERENTIAL PRESSURETOTALBAR,HOT BLAST TEMP.OC,OXYGENFLOWNM3/HR.,STEAMKGS/HR.,RAFTOC,PERMEABILITYKGS/HR.,TUYEREVELOCITYM/S,HOT BLAST VOLUMENM3/HR.,O2 ENRICHMENT %,BOTTOMBAR,FURNACE TOP GAS ANALYSISH2%,UNITCOST LAKHS/THM,BOSH_TEMP_B,FURNACE TOP GAS ANALYSISCO2%,FURNACE TOP GAS ANALYSISONLINE (ANALYZER)CO%
2025-11-23 18:00:00,0.997697423,12.50296758,0.490490441,86.499335,7.310889443,14.436,7.55,1.03,0.49,87.37,11.6,5.969,70.36,11.02,16.89,1.73,13.4084752,5.0,80.28888889,70.55,33.29,0.045,5.58,2.26,9.1,2.32,0.028,0.14,54.36,11.29,0.064,2.023297491,0.15,98.229,0.1,96.66,1.35,0.64,0.98,0.0,0.0,1.152,59.72732892,3.705511225,3.672031377,0.107122667,0.025271639,0.076800784,0.384152691,4.160722207,5.590419935,0.106720314,0.09376251,0.01970422,44.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.201839706,4.381384615,0.015430769,94.78433846,0.135692308,0.117292308,0.027723077,0.474153846,0.063984615,1.086832571,17.38692308,37.84246154,0.308615385,0.411692308,7.443076923,0.155846154,0.177230769,0.321384615,34.82230769,1.024769231,1.300575905,1490.861538,83.0,24.27272727,11.0,75.0,25.2,10.0,1.596237396237001,187.7611111,151.9783333,166.7222222,192.8872222,174.8372222,63.00564341789209,326.8060687009732,448.66163032653253,586.5510457842477,357.6760515298135,99.81325951334077,69.90269689886217,67.0389498456498,64.28778854563251,121.70115245545259,66.09135795831676,74.0902029417679,171.79622541366837,87.1100080647139,53.153458760893216,149.6003903,525.8555556,42.62021394,315.0,89.62861111,2.77782995,1.347818956,1.3180622684511647,1181.37,3897.71905,0.0,2258.406911,1269.075358,211.1119278,108789.9461,2.95377345,1.224237141,3.020391242,98.57205171475,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-23 19:00:00,0.997143531,12.49209115,0.490389733,86.51076532,7.267585123,19.09,7.55,1.03,0.49,87.37,11.6,7.996,70.36,11.02,16.89,1.73,13.55620823,5.0,80.28888889,70.55,33.29,0.045,5.58,2.26,9.1,2.32,0.028,0.14,54.36,11.29,0.064,2.023297491,0.15,132.845,0.1,96.66,1.35,0.64,0.98,0.0,0.0,1.705,59.36722554,3.83973695,3.731161652,0.11214874,0.024591641,0.078279041,0.400531778,4.315643528,5.778749861,0.107311617,0.098492932,0.020118132,53.906,0.0,0.0,0.0,0.0,0.0,0.0,4.077,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.075824228,4.372153846,0.015892308,94.82541538,0.131076923,0.118676923,0.029569231,0.446461538,0.060753846,1.070096288,17.34076923,37.45938462,0.317846154,0.467076923,7.489230769,0.183538462,0.195692308,0.312153846,35.00692308,1.126307692,1.284031537,1491.784615,83.0,24.27272727,11.0,75.0,25.2,10.0,1.8381569381149347,162.9316667,148.245,161.8308333,178.9575,162.99125,62.82735843341469,327.71055092705285,449.6122899573574,579.3557278174269,356.2019944842562,101.80337537706131,71.89888335745871,68.86285420876342,62.293404538525415,122.73535560778794,61.00722299466081,74.4141075673306,173.32198274412463,86.53742704440458,51.72055297900259,140.3522661,528.0694444,42.48259072,315.0,96.58702778,2.7946043,1.346706161,1.3119023146590005,1178.490833,3898.500203,0.0,2251.974478,1253.854544,209.920535,108801.3536,2.951972431,1.240635408,2.962930794,97.34667525825,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-23 20:00:00,0.996139199,12.47236972,0.490207127,86.53149108,7.189064645,16.753,7.55,1.03,0.49,87.37,11.6,7.0,70.36,11.02,16.89,1.73,14.01363571,5.0,80.28888889,70.55,33.29,0.045,5.58,2.26,9.1,2.32,0.028,0.14,54.36,11.29,0.064,2.023297491,0.15,117.975,0.1,96.66,1.35,0.64,0.98,0.0,0.0,1.607,59.86968576,3.65244882,3.648655868,0.105135749,0.025540458,0.076216397,0.377677675,4.099478374,5.515968939,0.106486559,0.091892469,0.019540591,52.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.184101998,4.274166667,0.015616667,94.92891667,0.13,0.119766667,0.031533333,0.44,0.06,1.060999028,17.33766667,37.301,0.3315,0.4915,7.4655,0.182333333,0.2,0.313833333,35.15733333,1.111666667,1.273352474,1485.866667,83.0,24.27272727,11.0,75.0,25.2,10.0,0.39665609866536045,166.5005556,143.3255556,145.3480556,175.4172222,157.6478472,62.987933355154624,327.12513766963434,449.2955026902908,578.9819020585404,356.1032215522945,100.31253665332845,68.52711329743754,66.69538577210116,63.24402916490711,124.04212230990555,60.529793902905105,77.18931302237135,181.54801041721998,88.05545442445005,53.567635758418604,143.3033614,534.4027778,42.16903308,315.0,97.79,2.8212046,1.347816542,1.3262917682724107,1183.681944,3899.401456,0.0,2244.299164,1241.924075,210.8380183,109641.1747,2.92986995,1.251928931,3.045347847,97.7376953855,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-23 21:00:00,0.996665869,12.4827116,0.490302885,86.52062253,7.230240632,16.706,7.55,1.03,0.49,87.37,11.6,7.04,70.36,11.02,16.89,1.73,13.45955624,5.0,80.28888889,70.55,33.29,0.045,5.58,2.26,9.1,2.32,0.028,0.14,54.36,11.29,0.064,2.023297491,0.15,117.48,0.1,96.66,1.35,0.64,0.98,0.0,0.0,1.61,59.74511347,3.698882172,3.669111089,0.106874443,0.025305222,0.076727777,0.383343772,4.153071053,5.581118819,0.106691111,0.093528887,0.019683778,50.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.220468119,4.149166667,0.015116667,95.05141667,0.13,0.120766667,0.033533333,0.44,0.06,1.054226689,17.34766667,37.211,0.3465,0.5065,7.4205,0.172333333,0.2,0.318833333,35.29733333,1.061666667,1.264458503,1477.866667,83.0,24.27272727,11.0,75.0,25.2,10.0,0.7166072998208506,178.4466667,152.8380556,152.8830556,180.6113889,166.1947917,63.10128792681452,327.2489558279329,449.2945439971383,578.3803652922921,355.869707335934,101.31842250552835,69.3234603809126,68.6768307966536,63.126086881470464,124.32283766164716,59.54106116791827,76.49102631180014,174.38382596740308,85.24815733209839,53.18524400754863,137.6373478,526.2083333,42.27533547,315.0,97.79,2.836254956,1.347828608,1.3250189190556154,1178.858889,3899.344653,0.0,2256.436647,1232.408753,209.7536661,109791.7897,2.924987375,1.269407401,2.937741094,96.9869485835,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-23 22:00:00,0.99663741,12.48215279,0.490297711,86.5212098,7.228015728,14.242,7.55,1.03,0.49,87.37,11.6,5.94,70.36,11.02,16.89,1.73,13.93047181,5.0,80.28888889,70.55,33.29,0.045,5.58,2.26,9.1,2.32,0.028,0.14,54.36,11.29,0.064,2.023297491,0.15,100.919,0.1,96.66,1.35,0.64,0.98,0.0,0.0,1.385,59.75658513,3.694606201,3.667227401,0.106714329,0.025326885,0.076680685,0.38282199,4.148135791,5.575119273,0.106672274,0.093378192,0.019670592,42.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.223004552,4.262181818,0.015,94.93363636,0.134181818,0.114727273,0.033163636,0.448363636,0.058745455,1.048172651,17.41690909,37.11472727,0.329090909,0.501636364,7.364,0.174181818,0.195818182,0.315818182,35.40945455,1.062545455,1.256145214,1478.927273,83.0,24.27272727,11.0,75.0,25.2,10.0,1.6648050332465516,170.0738889,162.8033333,159.9513889,184.2819444,169.2776389,62.19049738877007,327.80814198725176,449.62825031369096,581.4915754406851,357.119090550485,99.52819250716539,69.98316350717464,71.46074371852464,61.086439230104105,111.01875526532234,60.19712028902243,69.32006045851571,154.9042456570931,80.77060961541991,52.328069414711095,151.4050519,531.8194444,42.21151961,315.0,92.00797222,2.829459194,1.347806892,1.3036023137218804,1177.776944,3898.729031,0.0,2240.436336,1226.665022,208.2101281,109009.2889,2.945925169,1.260155336,3.047863614,98.81116937675,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-23 23:00:00,0.997262383,12.49442497,0.490411342,86.50831264,7.276877206,16.434,7.55,1.03,0.49,87.37,11.6,6.93,70.36,11.02,16.89,1.73,14.07524929,5.0,80.28888889,70.55,33.29,0.045,5.58,2.26,9.1,2.32,0.028,0.14,54.36,11.29,0.064,2.023297491,0.15,117.522,0.1,96.66,1.35,0.64,0.98,0.0,0.0,1.62,59.73099825,3.70414351,3.671428859,0.107071453,0.025278568,0.076785721,0.383985794,4.15914361,5.588500916,0.106714289,0.093714309,0.019700002,49.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.271261377,4.447636364,0.015,94.74272727,0.139636364,0.106545455,0.032072727,0.459272727,0.057109091,1.042337226,17.50418182,37.01654545,0.301818182,0.490727273,7.304,0.179636364,0.190363636,0.310363636,35.51309091,1.078909091,1.248008654,1482.745455,83.0,24.27272727,11.0,75.0,25.2,10.0,0.9738168261720688,175.6963889,155.2602778,161.0638889,188.4363889,170.1142361,62.42246416273657,327.4315018156688,449.5799447152675,577.8069250024912,355.7559260110262,99.52653539762181,69.69442477659683,66.50483940964122,62.491209042715674,120.87004016729458,57.901939220487066,74.39029913681222,172.56322681238842,85.76249360942538,50.937562340004845,145.7260836,535.0,42.38512817,315.0,96.58702778,2.825633314,1.348200594,1.3145032099386746,1181.636111,3899.582917,0.0,2235.533839,1213.898856,206.0755764,107404.9661,2.987384703,1.257443508,3.120201622,98.05870607700001,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-24 00:00:00,0.97831516,12.48625747,0.453060148,86.53542737,7.376960957,14.215,8.05,1.035,0.485,87.285,11.68,5.939,70.31,11.16,17.19,1.34,14.86478499,5.043333333,80.26555556,70.55,31.42,0.043,5.87,2.28,8.83,2.39,0.035,0.14,53.96,11.36,0.066,1.935264055,0.14,100.722,0.1,96.06,1.04,0.63,1.26,0.0,0.0,1.393,59.13849961,3.930368046,3.672720863,0.060389198,0.018662342,0.065921808,0.368439329,4.515820348,5.837499824,0.060259466,0.104154974,0.018714235,42.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.251007301,4.338117647,0.015,94.86374118,0.14,0.108305882,0.032658824,0.446823529,0.055352941,1.034670963,17.23988235,37.00011765,0.326352941,0.480117647,7.313176471,0.186588235,0.186705882,0.293529412,35.76376471,1.099764706,1.239170736,1482.670588,83.0,24.27272727,11.0,75.0,25.2,10.0,0.09980705572618831,184.9680556,148.0605556,157.6688889,191.4469444,170.5361111,62.38531315223008,326.49841342861185,449.25130331007404,582.6502252487626,356.9371256263939,99.05323475519684,68.86007717326855,63.48109275846892,64.15670585779912,120.84975712661202,62.230479061538446,75.79492958097674,183.58858652854315,90.48375167193143,51.92562136509262,161.55975,538.9305556,43.51224047,315.0,92.00797222,2.801621131,1.347924481,1.3291278950617826,1179.691389,3905.101344,0.0,2211.544825,1234.848156,207.1728939,107485.4711,2.989597419,1.237188077,3.160268814,100.156666875,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-24 01:00:00,0.982194446,12.5462372,0.456641027,86.47156835,7.642542843,17.681,8.05,1.035,0.485,87.285,11.68,6.857,70.31,11.16,17.19,1.34,14.49022923,5.043333333,80.26555556,70.55,31.42,0.043,5.87,2.28,8.83,2.39,0.035,0.14,53.96,11.36,0.066,1.935264055,0.14,115.794,0.1,96.06,1.04,0.63,1.26,0.0,0.0,1.585,59.11751106,3.938164267,3.675038211,0.060538171,0.018660687,0.066019467,0.369245435,4.524427641,5.849301746,0.06035878,0.104469471,0.018732443,49.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.263172127,4.207529412,0.015,95.00703529,0.14,0.110776471,0.033364706,0.432705882,0.053588235,1.026873925,16.95047059,36.98952941,0.354588235,0.469529412,7.327294118,0.193647059,0.183176471,0.275882353,36.02494118,1.120941176,1.230282721,1482.317647,83.0,24.27272727,11.0,75.0,25.2,10.0,2.085475544475557,178.6,167.8555556,172.5819444,201.6811111,180.1796528,61.94608749789071,327.4458238614184,449.6691994810909,581.7217273624766,356.97062261950265,97.77270204103948,70.45319808989726,69.14298001837597,61.065350037786175,109.1840258804599,58.65008290551624,67.50157870517361,152.7151282570282,80.87412524063892,50.59015598290641,159.5752352,541.8888889,42.44628036,315.0,90.805,2.77575225,1.348291011,1.3055886078594128,1181.366944,3900.345789,0.0,2223.668683,1259.202239,209.1391917,107617.2653,2.982517106,1.220150868,3.18410015,99.893718664,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-24 02:00:00,0.977095752,12.46740355,0.45193454,86.5555007,7.293478393,16.407,8.05,1.035,0.485,87.285,11.68,6.697,70.31,11.16,17.19,1.34,15.43226198,5.043333333,80.26555556,70.55,31.42,0.043,5.87,2.28,8.83,2.39,0.035,0.14,53.96,11.36,0.066,1.935264055,0.14,117.985,0.1,96.06,1.04,0.63,1.26,0.0,0.0,1.299,59.12991768,3.933555816,3.673668395,0.060450111,0.018661665,0.06596174,0.368768935,4.519339755,5.842325471,0.060300074,0.104283568,0.01872168,48.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.221543706,4.111818182,0.014890909,95.10169091,0.139454545,0.112563636,0.033672727,0.433090909,0.052818182,1.020402628,16.70254545,36.99418182,0.375636364,0.46,7.333454545,0.197818182,0.179454545,0.261090909,36.25454545,1.132363636,1.222679066,1482.490909,83.0,24.27272727,11.0,75.0,25.2,10.0,1.6936536273640428,196.2675,171.2230556,178.8577778,218.4175,191.1914583,62.099967912855504,326.464334691755,449.703119552782,581.4360340317801,356.7066522236099,97.37663709702727,70.71872241439985,66.77088891388104,61.850501375257565,110.00700426288535,56.96722786722926,68.06528043855886,157.64820729127013,82.32135666239697,50.02405110767044,169.9494739,545.2222222,42.69382253,315.0,90.805,2.782994089,1.348090839,1.3289820775438907,1181.915278,3899.914586,0.0,2197.116283,1256.520286,209.5094861,108136.6675,2.972178764,1.223958264,3.342906036,101.26830529175,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-24 03:00:00,0.977283586,12.47030776,0.452107926,86.55240866,7.30633783,14.232,8.05,1.035,0.485,87.285,11.68,5.836,70.31,11.16,17.19,1.34,15.3244578,5.043333333,80.26555556,70.55,31.42,0.043,5.87,2.28,8.83,2.39,0.035,0.14,53.96,11.36,0.066,1.935264055,0.14,101.221,0.1,96.06,1.04,0.63,1.26,0.0,0.0,1.117,59.15359502,3.924760841,3.671054178,0.060282054,0.018663533,0.065851569,0.36785956,4.509629804,5.829011635,0.060188036,0.103928781,0.01870114,42.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.278249537,4.33,0.0138,94.7586,0.134,0.1082,0.0304,0.564,0.061,1.02586299,16.828,37.136,0.332,0.46,7.268,0.176,0.174,0.272,36.2,1.056,1.226634642,1487.4,83.0,24.27272727,11.0,75.0,25.2,10.0,0.7404250239811887,200.3327778,162.0972222,174.5986111,218.7811111,188.9524306,62.50311732612205,326.0228574829115,449.6254958363161,577.0944066953344,355.2033095546411,97.6140196381304,69.8796921914342,62.229376851818444,63.32378328188723,120.8649018924886,54.41567474394562,74.03995504541561,176.7729928667498,87.2224484068424,49.39069430331077,158.6595856,549.5694444,42.27764956,315.0,96.58702778,2.806933989,1.348004033,1.3437626872500061,1181.143056,3898.558247,0.0,2196.033731,1226.797339,206.6172267,107134.242,2.992394244,1.241934247,3.369598772,99.77239509200001,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-24 04:00:00,0.977774172,12.47789296,0.452560774,86.54433286,7.339924071,16.331,8.05,1.035,0.485,87.285,11.68,6.806,70.31,11.16,17.19,1.34,14.86861262,5.043333333,80.26555556,70.55,31.42,0.043,5.87,2.28,8.83,2.39,0.035,0.14,53.96,11.36,0.066,1.935264055,0.14,117.443,0.1,96.06,1.04,0.63,1.26,0.0,0.0,1.3,59.26006284,3.885213251,3.659299055,0.059526368,0.018671929,0.065356174,0.363770457,4.46596792,5.769144475,0.059684245,0.102333443,0.018608778,51.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.271947194,4.460133333,0.013117333,94.56394933,0.131066667,0.105746667,0.028213333,0.632266667,0.065506667,1.031109762,16.9008,37.25493333,0.314933333,0.4568,7.2328,0.161066667,0.17,0.277866667,36.1312,1.0064,1.231294773,1491.213333,83.0,24.27272727,11.0,75.0,25.2,10.0,3.2339984108342037,193.5497222,185.3838889,196.4416667,222.4586111,199.4584722,61.75474101655807,327.54957219520975,450.3144703841537,578.2630919788971,356.02643741761295,98.9098250085039,74.02265068358847,70.88518498255965,59.77027016589496,106.70963320446663,53.53786986965686,63.99847032789435,140.58906805259653,76.91010594041707,47.41635987490102,161.601351,549.125,42.16642622,315.0,92.00797222,2.796673972,1.347919042,1.307974589783963,1179.926389,3899.592353,0.0,2209.705994,1231.740261,206.3929214,106915.8772,2.998915825,1.233710236,3.345767419,100.1621790075,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-24 05:00:00,0.977859129,12.47920653,0.452639196,86.54293434,7.345740358,14.027,8.05,1.035,0.485,87.285,11.68,5.81,70.31,11.16,17.19,1.34,14.727653,5.043333333,80.26555556,70.55,31.42,0.043,5.87,2.28,8.83,2.39,0.035,0.14,53.96,11.36,0.066,1.935264055,0.14,100.768,0.1,96.06,1.04,0.63,1.26,0.0,0.0,1.102,59.15389682,3.924648738,3.671020856,0.060279912,0.018663557,0.065850165,0.367847969,4.509506037,5.828841932,0.060186608,0.103924259,0.018700878,43.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.280173029,4.348133333,0.013557333,94.77750933,0.135066667,0.108546667,0.029013333,0.528266667,0.059906667,1.035769156,16.8288,37.31093333,0.370933333,0.4448,7.2808,0.165066667,0.17,0.269866667,36.0232,1.0304,1.237892427,1492.013333,83.0,24.27272727,11.0,75.0,25.2,10.0,2.0988565774621293,192.9913889,170.9494444,180.8552778,218.7391667,190.8838194,62.10067878650654,326.754266260327,449.4299511822932,581.8252301484808,356.6274449643239,96.17249095500418,69.96732439724582,66.2919640963623,61.87108376896323,110.95305876851472,57.367056118349645,67.84565740061751,154.94553371317113,81.6506821565772,49.862343141793744,162.1898904,549.3472222,42.55882947,315.0,90.805,2.792739631,1.348014311,1.3166708308162145,1182.718889,3899.180939,0.0,2216.088639,1236.759936,207.1876675,106929.8925,2.996264717,1.237205727,3.295508583,100.240160478,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-24 06:00:00,0.97723529,12.46956103,0.452063345,86.55320368,7.303031426,16.197,8.05,1.035,0.485,87.285,11.68,6.834,70.31,11.16,17.19,1.34,14.58532881,5.043333333,80.26555556,70.55,31.42,0.043,5.87,2.28,8.83,2.39,0.035,0.14,53.96,11.36,0.066,1.935264055,0.14,117.98,0.1,96.06,1.04,0.63,1.26,0.0,0.0,1.279,59.16081663,3.922078364,3.670256838,0.060230797,0.018664102,0.065817967,0.3675822,4.506668257,5.824950899,0.060153865,0.103820571,0.018694875,50.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.273399261,4.236133333,0.013997333,94.99106933,0.139066667,0.111346667,0.029813333,0.424266667,0.054306667,1.040428551,16.7568,37.36693333,0.426933333,0.4328,7.3288,0.169066667,0.17,0.261866667,35.9152,1.0544,1.244490082,1492.813333,83.0,24.27272727,11.0,75.0,25.2,10.0,1.4346857959388473,200.7123967,165.0334711,175.9665289,220.7066116,190.6047521,62.46957665408318,326.06831869367466,448.9679090610801,583.4758252305808,356.7841702625391,95.60758950372465,68.4523293515002,63.84408990582503,63.39391457952797,115.1187471086173,59.19032938155052,70.64844642587832,164.3972787934553,84.5205957127689,51.05242324980365,161.1296434,540.3099174,41.91139938,315.0,90.51921488,2.787366983,1.347804169,1.329157793043494,1178.867769,3901.073083,0.0,2218.026868,1245.670132,207.6956128,107321.4731,2.986868818,1.234504112,3.282888095,100.0996777505,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-24 07:00:00,0.977643304,12.47586955,0.452439973,86.54648714,7.330964683,16.451,8.05,1.035,0.485,87.285,11.68,6.887,70.31,11.16,17.19,1.34,12.84299132,5.043333333,80.26555556,70.55,31.42,0.043,5.87,2.28,8.83,2.39,0.035,0.14,53.96,11.36,0.066,1.935264055,0.14,118.475,0.1,96.06,1.04,0.63,1.26,0.0,0.0,1.166,58.71081809,4.08923082,3.71994122,0.063424793,0.018628613,0.067911809,0.384865267,4.691210247,6.077986358,0.062283195,0.110563451,0.019085252,45.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.157106059,4.258421053,0.013833684,95.04891368,0.132736842,0.113694737,0.0392,0.346736842,0.046463158,1.029266633,16.77389474,37.05073684,0.466631579,0.459052632,7.34,0.199052632,0.177263158,0.257578947,36.00136842,1.161684211,1.23315384,1484.526316,83.0,24.27272727,11.0,75.0,25.2,10.0,3.6966222410597283,165.7892562,157.2739669,175.9904959,202.5966942,175.4126033,62.87570717338926,327.34975760256236,448.7316232412028,586.4625574895003,357.6157678944716,96.4963941448293,70.12138234413827,69.14390503086389,61.81313826262279,113.49001370390158,63.84896879796796,67.42160367597504,151.01162629790622,81.25259823790496,52.60782441300776,142.5394975,532.7892562,43.45487934,315.0,90.10128099,2.804040545,1.347622149,1.2971948167675964,1182.315702,3906.226897,0.0,2275.161913,1247.138479,209.7260847,108589.3405,2.957533074,1.24317863,2.88630862,97.63648341875,57.62819444444473,18.180447263888883,24.43288265277776
2025-11-24 08:00:00,0.987055948,12.50979963,0.482741264,86.50314443,6.844172853,16.569,8.05,1.035,0.485,87.285,11.68,6.964,70.34,10.75,16.93,1.98,13.46523318,5.043333333,80.26555556,70.55,31.42,0.045,6.02,2.21,9.45,2.31,0.036,0.14,53.87,11.56,0.068,1.920265781,0.14,118.03,0.1,96.06,1.04,0.63,1.26,0.0,0.0,1.163,59.1188358,3.937672192,3.674891947,0.060528768,0.018660791,0.066013303,0.369194556,4.523884373,5.848556842,0.060352512,0.104449621,0.018731294,50.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.183031873,4.321578947,0.013486316,95.05936632,0.123263158,0.115905263,0.0512,0.277263158,0.037936842,1.013289534,16.81810526,36.62126316,0.501368421,0.496947368,7.34,0.236947368,0.186736842,0.254421053,36.14663158,1.294315789,1.216359456,1473.473684,83.0,24.27272727,11.0,75.0,25.2,10.0,2.3911157387319975,171.7613889,150.1086111,165.7758333,207.1008333,173.6866667,63.34869465826313,326.3779208614878,448.71833105241336,582.3550883236329,356.3493932128313,95.76036050261874,68.33129064409428,65.05474408483647,62.95067234757667,120.11703054167032,60.195351427667944,72.14755996733317,167.51839129655906,84.90578239614146,53.08509284216288,140.8499036,530.2805556,42.31774653,315.0,95.599875,2.799527322,1.348388072,1.3266438316093823,1179.088056,3897.493725,0.0,2255.940344,1259.643381,210.9999136,109438.1011,2.928075189,1.242104619,3.001945072,97.412612227,57.62819444444473,18.180447263888883,24.43288265277776
