,HOT BLAST PRESSUREBAR,TOPPRESSUREBAR,DIFFERENTIAL PRESSURETOTALBAR,HOT BLAST TEMP.OC,OXYGENFLOWNM3/HR.,STEAMKGS/HR.,RAFTOC,PERMEABILITYKGS/HR.,TUYEREVELOCITYM/S,HOT BLAST VOLUMENM3/HR.,O2 ENRICHMENT %,COKE_VM%,COKE_ASH%,COKE_IM%,COKE_FC%,COKE_MOIST%,COKE_CALC_MT,NUTCOKE_MOIST%,NUTCOKE_VM%,NUTCOKE_IM%,NUTCOKE_FC%,NUTCOKE_ASH%,NUTCOKE_CALC_MT,PCI_2_FC%,PCI_2_ASH%,PCI_2_VM%,PCI_2_IM%,PCI_2_CALC_MT,SINTER_SP_02_COLD_STRENGTH_AI,SINTER_SP_02_COLD_STRENGTH_TI,SINTER_SP_02_HOT_STRENGTH_RI,SINTER_SP_02_HOT_STRENGTH_RDI,SINTER_SP_02_P%,SINTER_SP_02_SIO2%,SINTER_SP_02_MGO%,SINTER_SP_02_FEO%,SINTER_SP_02_AL2O3%,SINTER_SP_02_NA2O%,SINTER_SP_02_TIO2%,SINTER_SP_02_FE(T)%,SINTER_SP_02_CAO%,SINTER_SP_02_K2O%,SINTER_SP_02_BASICITY,SINTER_SP_02_MNO%,SINTER_CALC_MT,FLUX_TM%,FLUX_SIO2%,FLUX_FE2O3%,FLUX_AL2O3%,FLUX_LOI%,FLUX_MGO%,FLUX_CAO%,FLUX_CALC_MT,GEOMIN TYPE,ORE_FE(T)%,ORE_LOI%,ORE_TM%,ORE_MGO%,ORE_NA2O%,ORE_P%,ORE_TIO2%,ORE_AL2O3%,ORE_SIO2%,ORE_MNO%,ORE_CAO%,ORE_K2O%,ORE_CALC_MT,LLOYDS_PELLET_PCT_SIO2,LLOYDS_PELLET_PCT_AL2O3,LLOYDS_PELLET_PCT_FE2O3,LLOYDS_PELLET_PCT_MGO,LLOYDS_PELLET_PCT_TIO2,LLOYDS_PELLET_PCT_NA2O,TOTAL_PELLET_CALC_MT,LLOYDS_PELLET_PCT_K2O,LLOYDS_PELLET_PCT_TM,LLOYDS_PELLET_PCT_LOI,LLOYDS_PELLET_PCT_MNO,LLOYDS_PELLET_PCT_CAO,LLOYDS_PELLET_PCT_P,DAILYPRODUCTION,CHARGES/HRS.,STOCKRODLEVEL,FURNACE TOP GAS ANALYSISH2%,COKE_DISCHARGE_TIME,WEIGHTED_COKE_ANGLE,TOTAL_COKE_PORTIONS,NON_COKE_DISCHARGE_TIME,WEIGHTED_NON_COKE_ANGLE,TOTAL_NON_COKE_PORTIONS,UNITCOST LAKHS/THM,ACTUALKG/THM.,ACT. FUEL RATEKG/THM.,FURNACETOPGASANALYSISCO2ETACO,COKE RATE KG/THM,PRODUCTIONTONNESPERHR
2024-01-03 09:00:00,2.7,1.46,1.24,1130.0,4000.0,2116.0,2269.0,1594.0,226.0,118077.0,2.79102248799518,0.95,10.78,0.39,87.88,3.6,38.92776495575301,7.2,1.03,0.42,87.47,11.08,2.404159494585071,67.71000000000001,10.89,17.4,4.0,9.12148356819579,4.69333333333333,81.6,64.1,24.92,0.0815,5.99,2.16,9.955,2.03,0.045,0.225,54.065,11.515,0.1169999999999999,1.92241732513901,0.365,115.2102637368728,0.1,96.78,0.89,0.44,1.09,0.0,0.0,2.0770956675964243,1.0,59.79713551729986,4.700743406019858,3.541793652542358,0.0899124794564583,0.0093391680362361,0.144203459333722,0.2937723428667426,2.685710456165969,5.706913085739298,0.180700164348333,0.1002625616306249,0.0361050246522499,24.699961306922496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,8.0,1.5,3.66,82.0,27.81818182,11.0,65.0,27.75,8.0,123.175,90.0,535.0,43.8168293816829,445.0,89.33333333333333
2024-01-03 10:00:00,2.69,1.47,1.22,1130.0,4000.0,2140.0,2265.0,1610.0,225.0,117650.0,2.80210446402886,0.95,10.78,0.39,87.88,3.6,37.01553507150699,7.2,1.03,0.42,87.47,11.08,2.2860611234799,67.71000000000001,10.89,17.4,4.0,8.673413315829933,4.69333333333333,81.6,64.1,24.92,0.0815,5.99,2.16,9.955,2.03,0.045,0.225,54.065,11.515,0.1169999999999999,1.92241732513901,0.365,109.55084533615224,0.1,96.78,0.89,0.44,1.09,0.0,0.0,1.9750634956356028,1.0,59.79713551729986,4.700743406019858,3.541793652542358,0.0899124794564583,0.0093391680362361,0.144203459333722,0.2937723428667426,2.685710456165969,5.706913085739298,0.180700164348333,0.1002625616306249,0.0361050246522499,23.486636981611152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,7.0,1.5,3.67,82.0,27.81818182,11.0,65.0,27.75,8.0,123.3075,91.0,536.0,43.9176688251619,445.0,84.94505494505495
2024-01-03 11:00:00,2.68,1.44,1.24,1110.0,4000.0,2305.0,2249.0,1536.0,215.0,115100.0,2.87085073686056,0.95,10.78,0.39,87.88,3.6,40.344388298935705,7.2,1.03,0.42,87.47,11.08,2.491649451037354,67.71000000000001,10.89,17.4,4.0,9.4534241910867,4.69333333333333,81.6,64.1,24.92,0.0815,5.99,2.16,9.955,2.03,0.045,0.225,54.065,11.515,0.1169999999999999,1.92241732513901,0.365,119.40288946736104,0.1,96.78,0.89,0.44,1.09,0.0,0.0,2.152683418706339,1.0,59.79713551729986,4.700743406019858,3.541793652542358,0.0899124794564583,0.0093391680362361,0.144203459333722,0.2937723428667426,2.685710456165969,5.706913085739298,0.180700164348333,0.1002625616306249,0.0361050246522499,25.59881953325189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,7.0,1.5,3.74,82.0,27.81818182,11.0,65.0,27.75,8.0,123.0425,89.0,534.0,44.713758079409,445.0,92.58426966292134
2024-01-03 12:00:00,2.64,1.44,1.2,1130.0,4000.0,126.0,2312.0,1646.0,232.0,119773.0,2.69372811280637,0.95,10.78,0.39,87.88,3.6,39.02881041962259,7.2,1.03,0.42,87.47,11.08,2.4104000124165705,67.71000000000001,10.89,17.4,4.0,9.145160358768653,4.69333333333333,81.6,64.1,24.92,0.0815,5.99,2.16,9.955,2.03,0.045,0.225,54.065,11.515,0.1169999999999999,1.92241732513901,0.365,115.50931698472972,0.1,96.78,0.89,0.44,1.09,0.0,0.0,2.082487220270264,1.0,59.79713551729986,4.700743406019858,3.541793652542358,0.0899124794564583,0.0093391680362361,0.144203459333722,0.2937723428667426,2.685710456165969,5.706913085739298,0.180700164348333,0.1002625616306249,0.0361050246522499,24.764075418037155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,8.0,1.5,3.42,82.0,27.81818182,11.0,65.0,27.75,8.0,123.44,92.0,537.0,42.7409988385598,445.0,89.56521739130434
2024-01-03 13:00:00,2.69,1.44,1.25,1135.0,4000.0,310.0,2337.0,1558.0,226.0,118055.0,2.73827025899962,0.95,10.78,0.39,87.88,3.6,38.08529840074045,7.2,1.03,0.42,87.47,11.08,2.352129177164947,67.71000000000001,10.89,17.4,4.0,8.92407832679454,4.69333333333333,81.6,64.1,24.92,0.0815,5.99,2.16,9.955,2.03,0.045,0.225,54.065,11.515,0.1169999999999999,1.92241732513901,0.365,112.71690728286586,0.1,96.78,0.89,0.44,1.09,0.0,0.0,2.032143597178293,1.0,59.79713551729986,4.700743406019858,3.541793652542358,0.0899124794564583,0.0093391680362361,0.144203459333722,0.2937723428667426,2.685710456165969,5.706913085739298,0.180700164348333,0.1002625616306249,0.0361050246522499,24.165409905504028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,7.0,1.5,2.98,82.0,27.81818182,11.0,65.0,27.75,8.0,124.5,100.0,545.0,44.0448388603456,445.0,87.4
2024-01-03 14:00:00,2.7,1.44,1.26,1131.0,4000.0,0.0,2367.0,1540.0,222.0,115910.0,2.77980304984106,0.95,10.78,0.39,87.88,3.6,38.128874257034205,7.2,1.03,0.42,87.47,11.08,2.3548204004797806,67.71000000000001,10.89,17.4,4.0,8.934288942729086,4.69333333333333,81.6,64.1,24.92,0.0815,5.99,2.16,9.955,2.03,0.045,0.225,54.065,11.515,0.1169999999999999,1.92241732513901,0.365,112.84587399600416,0.1,96.78,0.89,0.44,1.09,0.0,0.0,2.034468704268886,1.0,59.79713551729986,4.700743406019858,3.541793652542358,0.0899124794564583,0.0093391680362361,0.144203459333722,0.2937723428667426,2.685710456165969,5.706913085739298,0.180700164348333,0.1002625616306249,0.0361050246522499,24.193059115922225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,8.0,1.5,3.13,82.0,27.81818182,11.0,65.0,27.75,8.0,123.25,100.0,540.0,43.7777258930656,440.0,87.5
2024-01-03 15:00:00,2.7,1.46,1.24,1130.0,4000.0,0.0,2360.0,1543.0,218.0,114492.0,2.81420844866884,0.95,10.78,0.39,87.88,3.6,38.10831960783904,7.2,1.03,0.42,87.47,11.08,2.3535509555199536,67.71000000000001,10.89,17.4,4.0,8.929472614458072,4.69333333333333,81.6,64.1,24.92,0.0815,5.99,2.16,9.955,2.03,0.045,0.225,54.065,11.515,0.1169999999999999,1.92241732513901,0.365,112.78504064075024,0.1,96.78,0.89,0.44,1.09,0.0,0.0,2.033371955641248,1.0,59.79713551729986,4.700743406019858,3.541793652542358,0.0899124794564583,0.0093391680362361,0.144203459333722,0.2937723428667426,2.685710456165969,5.706913085739298,0.180700164348333,0.1002625616306249,0.0361050246522499,24.18001703553628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,7.0,1.5,2.84,82.0,27.81818182,11.0,65.0,27.75,8.0,124.045,106.0,546.0,43.7136881245643,440.0,87.45283018867924
2024-01-03 16:00:00,2.69,1.44,1.25,1132.0,3998.0,0.0,2360.0,1536.0,221.0,115355.0,2.79177285536495,0.97,11.1,0.38,87.55,4.1,38.46407315160153,7.3,1.03,0.4,87.35,11.22,2.3755221182861965,70.88,10.42,17.58,1.12,9.012832142225603,4.69333333333333,81.6,64.1,24.92,0.08,6.07,2.23,9.92,2.025,0.0445,0.22,54.08,11.36,0.112,1.871534110647905,0.37,113.83792563552946,0.2,95.84,0.75,0.51,1.28,0.0,0.0,2.052354143427294,1.0,59.62886430733494,5.046060538340135,3.003500821741665,0.0665207990940972,0.0086608319637638,0.1478555392431317,0.2456060538340135,2.431443570368191,5.961617574254783,0.1873960045295136,0.0866958401811805,0.035444192688486,24.405745349908354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,8.0,1.5,2.82,82.0,27.81818182,11.0,65.0,27.75,8.0,123.78,104.0,544.0,44.6695832373935,440.0,88.26923076923077
2024-01-03 17:00:00,2.69,1.46,1.23,1133.0,3999.0,0.0,2349.0,1601.0,226.0,118068.0,2.7283458177455,0.97,11.1,0.38,87.55,4.1,40.28630635785238,7.3,1.03,0.4,87.35,11.22,2.488062339106368,70.88,10.42,17.58,1.12,9.439814535566978,4.69333333333333,81.6,64.1,24.92,0.08,6.07,2.23,9.92,2.025,0.0445,0.22,54.08,11.36,0.112,1.871534110647905,0.37,119.2309906758901,0.2,95.84,0.75,0.51,1.28,0.0,0.0,2.1495843004207944,1.0,59.62886430733494,5.046060538340135,3.003500821741665,0.0665207990940972,0.0086608319637638,0.1478555392431317,0.2456060538340135,2.431443570368191,5.961617574254783,0.1873960045295136,0.0866958401811805,0.035444192688486,25.56196610231334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,7.0,1.5,2.79,82.0,27.81818182,11.0,65.0,27.75,8.0,123.515,102.0,542.0,45.2262443438914,440.0,92.45098039215686
2024-01-03 18:00:00,2.71,1.47,1.24,1135.0,3999.0,0.0,2333.0,1560.0,222.0,116300.0,2.76979519381892,0.97,11.1,0.38,87.55,4.1,40.48593193837814,7.3,1.03,0.4,87.35,11.22,2.5003911161458032,70.88,10.42,17.58,1.12,9.486590441006884,4.69333333333333,81.6,64.1,24.92,0.08,6.07,2.23,9.92,2.025,0.0445,0.22,54.08,11.36,0.112,1.871534110647905,0.37,119.82180075212077,0.2,95.84,0.75,0.51,1.28,0.0,0.0,2.1602358605327803,1.0,59.62886430733494,5.046060538340135,3.003500821741665,0.0665207990940972,0.0086608319637638,0.1478555392431317,0.2456060538340135,2.431443570368191,5.961617574254783,0.1873960045295136,0.0866958401811805,0.035444192688486,25.688630043088324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.5996367985367,7.0,1.5,2.89,82.0,27.81818182,11.0,65.0,27.75,8.0,124.575,110.0,550.0,44.0174873446848,440.0,92.9090909090909
