time,delta,size,class,pre_z,post_z,driver,controls_moved,lag_h
07-15 01:14,5.0,trim,unexplained,2.4,1.9,tuyere_velocity,-,
07-16 01:14,-3.0,trim,reactive,10.0,4.6,runner_temp_cr_taphole,hot_blast_vol_nm3h,8.0
07-16 09:28,3.0,trim,reactive,4.6,6.1,runner_temp_cr_taphole,-,7.5
07-16 17:52,3.0,trim,reactive,6.1,9.2,runner_temp_cr_taphole,oxygen_flow,1.4
07-18 01:55,5.0,trim,coordinated,2.8,10.0,hot_blast_press,"hot_blast_temp,oxygen_flow",
07-18 04:20,-5.0,trim,reactive,3.7,10.0,h2_pct,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",0.6
07-18 14:17,5.0,trim,reactive,10.0,6.2,body_etaco,hot_blast_vol_nm3h,3.5
07-19 01:03,5.0,trim,reactive,4.8,6.0,runner_temp_cr_skimmer,-,0.6
07-20 10:07,5.0,trim,reactive,10.0,5.1,body_raft,-,3.1
07-21 13:33,10.0,trim,reactive,4.8,6.2,runner_temp_cr_taphole,-,6.6
07-25 13:03,-3.0,trim,reactive,3.7,3.4,co_pct,"hot_blast_temp,oxygen_flow",2.1
07-27 16:16,-3.0,trim,reactive,6.7,10.0,tuyere_velocity,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h",1.8
07-28 13:47,-2.0,trim,reactive,3.8,10.0,tuyere_velocity,-,6.3
07-30 22:56,3.0,trim,reactive,3.2,3.5,h2_pct,-,5.7
07-31 02:03,5.0,trim,anticipatory?,2.8,3.5,h2_pct,-,
07-31 08:30,10.0,trim,reactive,3.5,3.5,body_dp_bottom,"coal_rate_actual_value,oxygen_flow",5.3
08-01 09:10,-5.0,trim,reactive,4.0,3.1,body_raft,"hot_blast_temp,oxygen_flow",4.7
08-01 17:32,-5.0,trim,anticipatory?,3.1,10.0,runner_temp_cr_taphole,-,
08-03 07:55,-3.0,trim,reactive,4.5,10.0,top_press_avg,-,6.7
08-03 18:49,-4.0,trim,reactive,4.4,2.4,hm_per_charge,"coal_rate_actual_value,oxygen_flow",4.8
08-04 01:22,-5.0,trim,coordinated,2.9,9.3,body_raft,"hot_blast_temp,oxygen_flow",
08-04 08:57,-3.0,trim,reactive,3.8,10.0,tuyere_velocity,"hot_blast_vol_nm3h,oxygen_flow",3.0
08-04 22:34,5.0,trim,reactive,4.6,4.3,body_dp_bottom,"coal_rate_actual_value,hot_blast_vol_nm3h",2.3
08-05 07:30,-3.0,trim,reactive,4.3,10.0,tuyere_velocity,hot_blast_temp,4.3
08-05 16:01,5.0,trim,reactive,10.0,10.0,hm_per_charge,"hot_blast_vol_nm3h,oxygen_flow",7.0
08-08 05:54,50.0,large,reactive,4.3,8.1,hot_blast_press,-,1.7
08-08 16:28,-30.0,large,reactive,8.1,4.0,hm_per_charge,coal_rate_actual_value,4.5
08-08 19:41,-20.0,large,reactive,8.1,4.0,hm_per_charge,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h",7.7
08-09 14:50,5.0,trim,reactive,6.5,3.2,hot_blast_press,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h",7.6
08-09 20:52,6.0,trim,reactive,5.9,3.4,hm_per_charge,-,7.9
08-10 07:25,10.0,trim,reactive,10.0,10.0,hm_per_charge,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h",2.4
08-10 07:58,50.0,large,reactive,10.0,10.0,hm_per_charge,"coal_rate_actual_value,oxygen_flow",3.0
08-10 14:25,-40.0,large,reactive,10.0,3.1,hm_per_charge,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",7.9
08-10 17:06,-10.0,trim,reactive,10.0,2.8,hm_per_charge,"coal_rate_actual_value,hot_blast_temp,hot_blast_vol_nm3h,oxygen_flow",7.9
08-12 10:08,-5.0,trim,reactive,10.0,2.7,hm_per_charge,"hot_blast_temp,oxygen_flow",6.1
08-12 14:10,-5.0,trim,coordinated,2.7,2.9,runner_temp_cr_taphole,"hot_blast_temp,oxygen_flow",
08-12 21:26,-5.0,trim,coordinated,2.6,6.4,top_temp_avg,hot_blast_temp,
08-13 03:10,-5.0,trim,reactive,3.2,6.4,body_dp_bottom,"hot_blast_temp,hot_blast_vol_nm3h",1.7
08-13 08:22,-5.0,trim,reactive,6.4,2.8,hm_per_charge,hot_blast_temp,4.4
08-15 11:11,3.0,trim,reactive,10.0,4.5,hm_per_charge,-,6.4
08-15 16:57,10.0,trim,reactive,10.0,3.4,hm_per_charge,hot_blast_temp,7.7
08-16 05:29,2.0,trim,reactive,10.0,10.0,hm_per_charge,-,1.5
08-17 06:17,-5.0,trim,reactive,6.7,3.2,hm_per_charge,"hot_blast_temp,oxygen_flow",2.3
08-20 00:09,-3.0,trim,coordinated,2.9,3.4,co_pct,hot_blast_temp,
08-20 06:19,-3.0,trim,reactive,3.4,10.0,body_dp_bottom,hot_blast_temp,2.6
08-21 09:46,5.0,trim,reactive,3.9,3.6,tuyere_velocity,-,2.8
08-21 12:56,-5.0,trim,reactive,3.9,4.1,tuyere_velocity,"hot_blast_temp,hot_blast_vol_nm3h",5.9
08-21 23:42,-3.0,trim,reactive,4.1,3.1,hot_blast_press,hot_blast_temp,4.7
08-23 17:06,4.0,trim,reactive,4.1,8.5,body_raft,-,3.1
08-24 12:42,-3.0,trim,reactive,10.0,5.8,hm_per_charge,"hot_blast_temp,oxygen_flow",1.7
08-27 23:43,-10.0,trim,reactive,10.0,10.0,runner_temp_pci_taphole,-,8.0
08-28 05:05,-5.0,trim,reactive,10.0,10.0,runner_temp_pci_taphole,-,7.8
08-28 09:35,-5.0,trim,reactive,10.0,10.0,runner_temp_pci_taphole,-,7.8
08-28 13:56,-5.0,trim,reactive,10.0,4.5,runner_temp_pci_taphole,-,7.9
