input,effect,group,peak_lag_h,peak_r,r_at_0,r_at_4,r_at_7,basis
hot_blast_temp,body_etaco,gas,0,0.1556800351890348,0.1556800351890348,0.08176259953796886,-0.0030705366004336963,levels
hot_blast_temp,co_pct,gas,0,0.20526303599652881,0.20526303599652881,0.09315474628082712,0.0758944448223676,levels
hot_blast_temp,co2_pct,gas,0,0.3123666509371916,0.3123666509371916,0.14838458461004503,0.04290425246605135,levels
hot_blast_temp,h2_pct,gas,0,0.44916626999301484,0.44916626999301484,0.3212267161285754,0.21992210166454798,levels
hot_blast_temp,top_temp_avg,gas,0,-0.10685049119563265,-0.10685049119563265,-0.06835625127336553,-0.051665603993592435,levels
hot_blast_temp,body_raft,thermal,4,-0.2169583483429443,-0.13869796352908753,-0.2169583483429443,-0.16287395561092047,levels
hot_blast_temp,runner_temp_cr_taphole,thermal,6,0.19896231002146625,0.18732955067824772,0.18726937453434675,0.19774780423930965,levels
hot_blast_temp,runner_temp_pci_taphole,thermal,13,0.16000594753315142,0.11409961419154258,0.13316105230427958,0.14957487011522996,levels
hot_blast_temp,body_dp_total,aero,0,0.4935784807116141,0.4935784807116141,0.39313331332640494,0.32789238202931115,levels
hot_blast_temp,body_perm,aero,5,-0.40601760764040584,-0.3403212249261888,-0.40330247469535574,-0.39381767330112716,levels
hot_blast_temp,top_press_avg,aero,0,0.28292122250055224,0.28292122250055224,0.07950409427242953,-0.0051734165457085314,levels
hot_blast_vol_nm3h,body_etaco,gas,1,0.1942102147774355,0.19091926586454702,0.17057565391615717,0.15361188768885534,levels
hot_blast_vol_nm3h,co_pct,gas,0,0.2532124964116334,0.2532124964116334,0.1666417628427095,0.1271748522385265,levels
hot_blast_vol_nm3h,co2_pct,gas,0,0.4048458186978901,0.4048458186978901,0.3385195306803423,0.29080391359311447,levels
hot_blast_vol_nm3h,h2_pct,gas,0,0.3668130950890786,0.3668130950890786,0.35379803943992333,0.29822590279566646,levels
hot_blast_vol_nm3h,top_temp_avg,gas,1,0.0840846629809227,0.047404286575249616,0.004567838245748457,0.0039548872316176615,levels
hot_blast_vol_nm3h,body_raft,thermal,5,-0.09850648090778734,0.0004714820116583057,-0.08535306824579462,-0.07880337911634137,levels
hot_blast_vol_nm3h,runner_temp_cr_taphole,thermal,21,0.04082606384427336,0.013840592481945654,0.007722969540017079,0.006561767815314803,levels
hot_blast_vol_nm3h,runner_temp_pci_taphole,thermal,24,0.24028472666223324,0.18140274670458778,0.20125357758572288,0.19971111977198655,levels
hot_blast_vol_nm3h,body_dp_total,aero,0,0.8040545243489305,0.8040545243489305,0.5201306120983963,0.43993730729975794,levels
